time,ps,pl,ard1,ard2,ard3,ard4,ard5
09174656,32.70,30.58,28.75,26.75,26.0,24.0,21.75
09174706,31.60,30.72,28.75,26.75,26.0,24.0,21.75
09174716,32.84,30.69,28.75,26.75,26.25,24.0,21.75
09174726,32.32,30.74,28.75,26.75,26.25,23.75,21.75
09174736,31.79,30.39,28.75,26.75,26.25,24.0,21.75
09174746,32.31,30.49,28.75,26.75,26.25,24.0,21.75
09174756,32.73,30.68,28.75,26.75,26.25,24.0,21.75
09174806,31.62,30.51,28.75,26.75,26.25,24.0,21.75
09174816,32.43,30.85,28.75,26.75,26.25,24.0,21.75
09174826,32.44,30.38,28.75,26.75,26.25,24.0,21.75
09174836,32.20,30.08,28.75,26.75,26.25,24.0,21.75
09174846,32.92,30.45,28.75,26.75,26.25,24.0,21.75
09174856,33.15,30.65,28.75,26.75,26.25,24.0,21.75
09174906,31.72,30.89,28.75,26.75,26.25,24.0,21.75
09174916,31.63,30.49,28.75,26.75,26.25,24.0,21.75
09174926,32.49,30.46,28.75,26.75,26.25,24.0,21.75
09174936,34.20,30.81,28.75,26.75,26.25,24.0,21.75
09174946,30.45,30.41,28.75,26.75,26.25,24.0,21.75
09174956,31.59,30.64,28.75,26.75,26.25,24.0,21.75
09175006,32.49,30.55,28.75,26.75,26.25,24.0,21.5
09175016,31.68,30.40,28.75,26.75,26.25,24.0,21.75
09175026,31.30,30.84,28.75,26.75,26.25,24.0,21.75
09175036,32.20,30.68,28.75,26.75,26.25,24.0,21.75
09175046,31.60,30.55,28.75,26.75,26.25,24.0,21.75
09175056,31.11,30.52,28.75,26.75,26.25,24.0,21.5
09175106,31.83,30.48,28.75,26.75,26.25,24.0,21.75
09175116,31.89,30.56,28.75,26.75,26.25,24.0,21.75
09175126,30.42,30.50,28.75,26.75,26.25,24.0,21.75
09175136,30.78,30.80,28.75,26.75,26.25,24.0,21.75
09175146,32.64,30.66,28.75,26.75,26.25,24.0,21.5
09175156,31.89,30.72,28.75,26.75,26.25,24.0,21.75
09175206,31.79,30.50,28.75,26.75,26.25,24.0,21.75
09175216,31.72,30.75,28.75,26.75,26.25,24.0,21.75
09175226,31.95,30.59,28.75,27.0,26.25,24.0,21.75
09175236,31.20,30.88,28.75,26.75,26.25,24.0,21.75
09175246,33.64,30.94,28.75,27.0,26.25,24.0,21.75
09175256,31.62,30.51,28.75,26.75,26.25,24.0,21.75
09175306,32.92,30.65,28.75,27.0,26.25,24.0,21.75
09175316,31.08,30.78,28.75,27.0,26.25,24.0,21.75
09175326,31.48,30.56,28.75,26.75,26.25,24.0,21.75
09175336,32.75,30.68,28.75,26.75,26.25,24.0,21.75
09175346,30.61,30.72,28.75,27.0,26.25,24.0,21.75
09175356,32.28,30.68,28.75,26.75,26.25,24.0,21.75
09175406,31.16,30.46,28.75,27.0,26.25,24.0,21.75
09175417,31.57,30.53,28.75,27.0,26.25,24.0,21.75
09175427,32.11,30.82,28.75,27.0,26.25,24.0,21.75
09175437,32.55,30.58,28.75,27.0,26.25,24.0,21.75
09175447,31.74,30.28,28.75,27.0,26.25,24.0,21.75
09175457,32.11,30.44,28.75,27.0,26.25,24.0,21.75
09175507,31.33,30.52,28.75,27.0,26.25,24.0,21.75
09175517,32.09,30.70,29.0,27.0,26.25,24.0,21.75
09175527,32.52,30.86,28.75,27.0,26.25,24.0,21.75
